id;name;geoid;geoname;value;datetime
10205;Generación medida solar Sevilla;27;Sevilla;8658.567;2023-03-17T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;8307.27;2023-03-18T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;13801.371;2023-03-19T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;15098.891;2023-03-20T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;13958.64;2023-03-21T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;14788.124;2023-03-22T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;13811.979;2023-03-23T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;12914.595;2023-03-24T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;15058.044;2023-03-25T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;13535.404;2023-03-26T00:00:00+01:00
10205;Generación medida solar Sevilla;27;Sevilla;12177.862;2023-03-27T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13936.035;2023-03-28T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13509.075;2023-03-29T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13248.293;2023-03-30T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13605.632;2023-03-31T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13125.212;2023-04-01T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;15113.667;2023-04-02T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;15806.217;2023-04-03T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;5699.322;2023-04-04T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;16543.75;2023-04-05T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;13450.507;2023-04-06T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;15966.79;2023-04-07T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;14936;2023-04-08T00:00:00+02:00
10205;Generación medida solar Sevilla;27;Sevilla;11733.266;2023-04-09T00:00:00+02:00
