YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2023,9,24,5.98
2023,9,25,5.84
2023,9,26,5.8
2023,9,27,5.7
2023,9,28,5.75
2023,9,29,5.69
2023,9,30,5.71
2023,10,1,5.75
2023,10,2,5.22
2023,10,3,5.04
2023,10,4,4.96
2023,10,5,5.11
2023,10,6,4.79
2023,10,7,3.97
2023,10,8,4.92
2023,10,9,4.86
2023,10,10,4.91
2023,10,11,4.82
2023,10,12,4.76
2023,10,13,3.81
2023,10,14,3.68
2023,10,15,3.58
2023,10,16,3.48
2023,10,17,2.32
2023,10,18,3.24
2023,10,19,1.44
2023,10,20,3.71
2023,10,21,4.19
2023,10,22,1.13
2023,10,23,1.49
2023,10,24,4.09
2023,10,25,3.44
2023,10,26,1.86
2023,10,27,3.46
2023,10,28,3.2
2023,10,29,2.42
2023,10,30,3.68
2023,10,31,1.45
2023,11,1,2.58
2023,11,2,2.04
2023,11,3,2.68
2023,11,4,2.4
2023,11,5,3.54
2023,11,6,3.63
2023,11,7,3.75
2023,11,8,3.28
2023,11,9,1.87
2023,11,10,3.39
2023,11,11,2.61
2023,11,12,3.23
2023,11,13,3.24
2023,11,14,3.38
2023,11,15,3.36
2023,11,16,3.06
2023,11,17,3.18
2023,11,18,3.15
2023,11,19,3.16
2023,11,20,3.14
2023,11,21,2.5
2023,11,22,3.15
2023,11,23,3.16
2023,11,24,3.18
2023,11,25,3.09
2023,11,26,2.84
2023,11,27,2.01
2023,11,28,1.61
2023,11,29,1.13
2023,11,30,1.23
2023,12,1,2.28
2023,12,2,2.81
2023,12,3,2.01
2023,12,4,0.94
2023,12,5,1.21
2023,12,6,1.16
2023,12,7,1.59
2023,12,8,2.18
2023,12,9,2.46
2023,12,10,2.7
2023,12,11,2.36
2023,12,12,2.55
2023,12,13,1.61
2023,12,14,2.81
2023,12,15,2.71
2023,12,16,2.82
2023,12,17,2.82
2023,12,18,2.81
2023,12,19,2.78
2023,12,20,1.35
2023,12,21,2.74
2023,12,22,2.79
2023,12,23,2.78
2023,12,24,2.7
2023,12,25,2.75
2023,12,26,2.77
2023,12,27,2.74
2023,12,28,2.42
2023,12,29,1.21
2023,12,30,2.77
2023,12,31,1.81
